,index,community_full,value,label,community,graph,color,marker
0,left caudal anterior cingulate,front_shap_1,1,frontal,1,SHAP-derived graph,#C25954,o
1,left caudal anterior cingulate,front_gt_1,0,frontal,1,SUVR-derived graph,#C25954,^
2,left caudal anterior cingulate,front_shap_2,0,frontal,2,SHAP-derived graph,#939ABE,o
3,left caudal anterior cingulate,front_gt_2,0,frontal,2,SUVR-derived graph,#939ABE,^
4,left caudal anterior cingulate,front_shap_3,0,frontal,3,SHAP-derived graph,#D97F31,o
5,left caudal anterior cingulate,front_gt_3,0,frontal,3,SUVR-derived graph,#D97F31,^
6,left caudal anterior cingulate,front_shap_4,0,frontal,4,SHAP-derived graph,#814B91,o
7,left caudal anterior cingulate,front_gt_4,1,frontal,4,SUVR-derived graph,#814B91,^
8,left caudal anterior cingulate,front_shap_5,0,frontal,5,SHAP-derived graph,#71B8B4,o
9,left caudal anterior cingulate,front_gt_5,0,frontal,5,SUVR-derived graph,#71B8B4,^
10,left caudal anterior cingulate,latpar_shap_1,0,lat-par,1,SHAP-derived graph,#C25954,o
11,left caudal anterior cingulate,latpar_gt_1,0,lat-par,1,SUVR-derived graph,#C25954,^
12,left caudal anterior cingulate,latpar_shap_2,1,lat-par,2,SHAP-derived graph,#939ABE,o
13,left caudal anterior cingulate,latpar_gt_2,0,lat-par,2,SUVR-derived graph,#939ABE,^
14,left caudal anterior cingulate,latpar_shap_3,0,lat-par,3,SHAP-derived graph,#D97F31,o
15,left caudal anterior cingulate,latpar_gt_3,0,lat-par,3,SUVR-derived graph,#D97F31,^
16,left caudal anterior cingulate,latpar_shap_4,0,lat-par,4,SHAP-derived graph,#814B91,o
17,left caudal anterior cingulate,latpar_gt_4,0,lat-par,4,SUVR-derived graph,#814B91,^
18,left caudal anterior cingulate,latpar_shap_5,0,lat-par,5,SHAP-derived graph,#71B8B4,o
19,left caudal anterior cingulate,latpar_gt_5,1,lat-par,5,SUVR-derived graph,#71B8B4,^
20,left caudal anterior cingulate,lattemp_shap_1,0,lat-temp,1,SHAP-derived graph,#C25954,o
21,left caudal anterior cingulate,lattemp_gt_1,0,lat-temp,1,SUVR-derived graph,#C25954,^
22,left caudal anterior cingulate,lattemp_shap_2,1,lat-temp,2,SHAP-derived graph,#939ABE,o
23,left caudal anterior cingulate,lattemp_gt_2,0,lat-temp,2,SUVR-derived graph,#939ABE,^
24,left caudal anterior cingulate,lattemp_shap_3,0,lat-temp,3,SHAP-derived graph,#D97F31,o
25,left caudal anterior cingulate,lattemp_gt_3,0,lat-temp,3,SUVR-derived graph,#D97F31,^
26,left caudal anterior cingulate,lattemp_shap_4,0,lat-temp,4,SHAP-derived graph,#814B91,o
27,left caudal anterior cingulate,lattemp_gt_4,1,lat-temp,4,SUVR-derived graph,#814B91,^
28,left caudal anterior cingulate,lattemp_shap_5,0,lat-temp,5,SHAP-derived graph,#71B8B4,o
29,left caudal anterior cingulate,lattemp_gt_5,0,lat-temp,5,SUVR-derived graph,#71B8B4,^
30,left caudal anterior cingulate,medpar_shap_1,1,med-par,1,SHAP-derived graph,#C25954,o
31,left caudal anterior cingulate,medpar_gt_1,0,med-par,1,SUVR-derived graph,#C25954,^
32,left caudal anterior cingulate,medpar_shap_2,0,med-par,2,SHAP-derived graph,#939ABE,o
33,left caudal anterior cingulate,medpar_gt_2,0,med-par,2,SUVR-derived graph,#939ABE,^
34,left caudal anterior cingulate,medpar_shap_3,0,med-par,3,SHAP-derived graph,#D97F31,o
35,left caudal anterior cingulate,medpar_gt_3,1,med-par,3,SUVR-derived graph,#D97F31,^
36,left caudal anterior cingulate,medpar_shap_4,0,med-par,4,SHAP-derived graph,#814B91,o
37,left caudal anterior cingulate,medpar_gt_4,0,med-par,4,SUVR-derived graph,#814B91,^
38,left caudal anterior cingulate,medpar_shap_5,0,med-par,5,SHAP-derived graph,#71B8B4,o
39,left caudal anterior cingulate,medpar_gt_5,0,med-par,5,SUVR-derived graph,#71B8B4,^
40,left caudal anterior cingulate,medtemp_shap_1,0,med-temp,1,SHAP-derived graph,#C25954,o
41,left caudal anterior cingulate,medtemp_gt_1,1,med-temp,1,SUVR-derived graph,#C25954,^
42,left caudal anterior cingulate,medtemp_shap_2,1,med-temp,2,SHAP-derived graph,#939ABE,o
43,left caudal anterior cingulate,medtemp_gt_2,0,med-temp,2,SUVR-derived graph,#939ABE,^
44,left caudal anterior cingulate,medtemp_shap_3,0,med-temp,3,SHAP-derived graph,#D97F31,o
45,left caudal anterior cingulate,medtemp_gt_3,0,med-temp,3,SUVR-derived graph,#D97F31,^
46,left caudal anterior cingulate,medtemp_shap_4,0,med-temp,4,SHAP-derived graph,#814B91,o
47,left caudal anterior cingulate,medtemp_gt_4,0,med-temp,4,SUVR-derived graph,#814B91,^
48,left caudal anterior cingulate,medtemp_shap_5,0,med-temp,5,SHAP-derived graph,#71B8B4,o
49,left caudal anterior cingulate,medtemp_gt_5,0,med-temp,5,SUVR-derived graph,#71B8B4,^
50,left caudal anterior cingulate,occ_shap_1,1,occipital,1,SHAP-derived graph,#C25954,o
51,left caudal anterior cingulate,occ_gt_1,0,occipital,1,SUVR-derived graph,#C25954,^
52,left caudal anterior cingulate,occ_shap_2,0,occipital,2,SHAP-derived graph,#939ABE,o
53,left caudal anterior cingulate,occ_gt_2,1,occipital,2,SUVR-derived graph,#939ABE,^
54,left caudal anterior cingulate,occ_shap_3,0,occipital,3,SHAP-derived graph,#D97F31,o
55,left caudal anterior cingulate,occ_gt_3,0,occipital,3,SUVR-derived graph,#D97F31,^
56,left caudal anterior cingulate,occ_shap_4,0,occipital,4,SHAP-derived graph,#814B91,o
57,left caudal anterior cingulate,occ_gt_4,0,occipital,4,SUVR-derived graph,#814B91,^
58,left caudal anterior cingulate,occ_shap_5,0,occipital,5,SHAP-derived graph,#71B8B4,o
59,left caudal anterior cingulate,occ_gt_5,0,occipital,5,SUVR-derived graph,#71B8B4,^
60,left caudal middle frontal,front_shap_1,1,frontal,1,SHAP-derived graph,#C25954,o
61,left caudal middle frontal,front_gt_1,0,frontal,1,SUVR-derived graph,#C25954,^
62,left caudal middle frontal,front_shap_2,0,frontal,2,SHAP-derived graph,#939ABE,o
63,left caudal middle frontal,front_gt_2,0,frontal,2,SUVR-derived graph,#939ABE,^
64,left caudal middle frontal,front_shap_3,0,frontal,3,SHAP-derived graph,#D97F31,o
65,left caudal middle frontal,front_gt_3,1,frontal,3,SUVR-derived graph,#D97F31,^
66,left caudal middle frontal,front_shap_4,0,frontal,4,SHAP-derived graph,#814B91,o
67,left caudal middle frontal,front_gt_4,0,frontal,4,SUVR-derived graph,#814B91,^
68,left caudal middle frontal,front_shap_5,0,frontal,5,SHAP-derived graph,#71B8B4,o
69,left caudal middle frontal,front_gt_5,0,frontal,5,SUVR-derived graph,#71B8B4,^
70,left caudal middle frontal,latpar_shap_1,0,lat-par,1,SHAP-derived graph,#C25954,o
71,left caudal middle frontal,latpar_gt_1,0,lat-par,1,SUVR-derived graph,#C25954,^
72,left caudal middle frontal,latpar_shap_2,1,lat-par,2,SHAP-derived graph,#939ABE,o
73,left caudal middle frontal,latpar_gt_2,0,lat-par,2,SUVR-derived graph,#939ABE,^
